adult,id,original_language,overview,popularity,release_date,title,video,vote_average,vote_count,genres
False,939243,en,"Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched in every way, Team Sonic must seek out an unlikely alliance in hopes of stopping Shadow and protecting the planet.",5790.376,2024-12-19,Sonic the Hedgehog 3,False,7.85,1139,"['Action', 'Science Fiction', 'Comedy', 'Family']"
False,539972,en,"Kraven Kravinoff's complex relationship with his ruthless gangster father, Nikolai, starts him down a path of vengeance with brutal consequences, motivating him to become not only the greatest hunter in the world, but also one of its most feared.",3006.227,2024-12-11,Kraven the Hunter,False,6.6,863,"['Action', 'Science Fiction', 'Adventure', 'Fantasy', 'Thriller']"
False,426063,en,"A gothic tale of obsession between a haunted young woman and the terrifying vampire infatuated with her, causing untold horror in its wake.",2237.349,2024-12-25,Nosferatu,False,6.602,1589,"['Horror', 'Fantasy']"
False,1241982,en,"After receiving an unexpected call from her wayfinding ancestors, Moana journeys alongside Maui and a new crew to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.",1876.425,2024-11-21,Moana 2,False,7.1,940,"['Animation', 'Adventure', 'Family', 'Comedy', 'Mystery']"
False,811941,te,"Devara, a fearless man from a coastal region, embarks on a perilous journey into the treacherous world of the sea to safeguard the lives of his people. Unbeknownst to him, his brother Bhaira is plotting a conspiracy against him. As events unfold, Devara passes on his legacy to his mild-mannered and timid son, Varada.",1350.04,2024-09-26,Devara: Part 1,False,7.063,48,"['Action', 'Drama']"
False,762509,en,"Mufasa, a cub lost and alone, meets a sympathetic lion named Taka, the heir to a royal bloodline. The chance meeting sets in motion an expansive journey of a group of misfits searching for their destiny.",1649.483,2024-12-18,Mufasa: The Lion King,False,7.5,896,"['Adventure', 'Family', 'Animation']"
False,970450,en,"A year after a supermoon’s light activated a dormant gene, transforming humans into bloodthirsty werewolves and causing nearly a billion deaths, the nightmare resurfaces as the supermoon rises again. Two scientists attempt to stop the mutation but fail and must now struggle to reach one of their family homes.",1228.187,2024-12-04,Werewolves,False,6.277,240,"['Action', 'Horror', 'Thriller']"
False,558449,en,"Years after witnessing the death of the revered hero Maximus at the hands of his uncle, Lucius is forced to enter the Colosseum after his home is conquered by the tyrannical Emperors who now lead Rome with an iron fist. With rage in his heart and the future of the Empire at stake, Lucius must look to his past to find strength and honor to return the glory of Rome to its people.",1291.876,2024-11-05,Gladiator II,False,6.8,2542,"['Action', 'Adventure', 'Drama']"
False,912649,en,"Eddie and Venom are on the run. Hunted by both of their worlds and with the net closing in, the duo are forced into a devastating decision that will bring the curtains down on Venom and Eddie's last dance.",1244.876,2024-10-22,Venom: The Last Dance,False,6.769,2564,"['Action', 'Science Fiction', 'Adventure']"
False,1241320,ja,"Depicts a continuation of the ""Battle of Mayang"", an all-out war against the neighboring country Zhao that Shin and Wang Ki fought in in the previous work ""Flame of Fate"".",950.252,2024-07-12,Kingdom IV: Return of the Great General,False,7.309,68,"['Action', 'Adventure']"
False,1222248,no,"On the brink of the Second World War, a young Norwegian man's drive to resist the Nazis sets a new course for his future – and the future of his country.",845.59,2024-10-30,Number 24,False,7.3,166,"['War', 'History', 'Drama']"
False,1222064,en,Four kayakers take the wrong river into a jungle inhabited by a tribe of merciless cannibals.,803.578,2024-08-29,River of Blood,False,6.0,18,"['Horror', 'Thriller']"
False,845781,en,"After Santa Claus (codename: Red One) is kidnapped, the North Pole's Head of Security must team up with the world's most infamous tracker in a globe-trotting, action-packed mission to save Christmas.",783.352,2024-10-31,Red One,False,7.12,2180,"['Action', 'Fantasy', 'Comedy']"
False,1081012,en,"A returning war veteran, stricken with PTSD, gets trapped with his teenage sister on Boston's Tobin Memorial Bridge when a heavily armed group of ex-military revolutionaries take everyone hostage.",728.835,2024-09-27,Aftermath,False,6.3,62,"['Action', 'Thriller']"
False,839033,en,"A sudden attack by Wulf, a clever and traitorous lord of Rohan seeking vengeance for the death of his father, forces Helm Hammerhand, the King of Rohan, and his people to make a daring last stand in the ancient stronghold of the Hornburg.",777.583,2024-12-05,The Lord of the Rings: The War of the Rohirrim,False,6.566,371,"['Animation', 'Fantasy', 'Action', 'Adventure']"
False,933260,en,"A fading celebrity decides to use a black market drug, a cell-replicating substance that temporarily creates a younger, better version of herself.",878.274,2024-09-07,The Substance,False,7.133,3466,"['Horror', 'Science Fiction']"
False,1035048,en,A single father and two women venture from the safety of their homes to face monstrous creatures to save the life of a young boy.,701.248,2024-11-07,Elevation,False,6.246,378,"['Action', 'Science Fiction', 'Thriller']"
False,1064486,en,"Forcibly separated from her twin brother when they are orphaned, a melancholic misfit learns how to find confidence within herself amid the clutter of misfortunes and everyday life.",623.409,2024-10-17,Memoir of a Snail,False,7.697,109,"['Animation', 'Drama', 'Comedy']"
False,823219,lv,"A solitary cat, displaced by a great flood, finds refuge on a boat with various species and must navigate the challenges of adapting to a transformed world together.",658.734,2024-08-29,Flow,False,8.402,929,"['Animation', 'Fantasy', 'Adventure']"
False,402431,en,"In the land of Oz, ostracized and misunderstood green-skinned Elphaba is forced to share a room with the popular aristocrat Glinda at Shiz University, and the two's unlikely friendship is tested as they begin to fulfill their respective destinies as Glinda the Good and the Wicked Witch of the West.",772.902,2024-11-20,Wicked,False,6.884,1531,"['Drama', 'Romance', 'Fantasy']"
